"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","territory"
"554B",5540002,"intact",529315,4888170,"554"
"555C",5550003,"intact",449139,4933533,"555"
"556A",5560001,"intact",464691,4859579,"556"
"557A",5570001,"intact",513551,4966938,"557"
"558A",5580001,"intact",450386,4884277,"558"
"559A",5590001,"intact",437773,4952093,"559"
"560A",5600001,"intact",389947,5048538,"560"
"562B",5620002,"intact",406134,4874788,"562"
"563B",5630002,"intact",445597,4868637,"563"
"564D",5640004,"intact",611251,4930815,"564"
"565A",5650001,"intact",515367,4929788,"565"
"566B",5660002,"intact",358904,4981502,"566"
"567A",5670001,"intact",341342,4962178,"567"
"568A",5680001,"intact",439803,4911066,"568"
"569A",5690001,"intact",652119,4976325,"569"
"570A",5700001,"intact",651520,4970999,"570"
"571A",5710001,"intact",658752,4963330,"571"
"572B",5720002,"intact",527723,4872395,"572"
"573A",5730001,"intact",540970,4926333,"573"
"574A",5740001,"intact",552734,4891152,"574"
"575A",5750001,"intact",533486,4887442,"575"
"576A",5760001,"intact",633267,4941286,"576"
"577A",5770001,"intact",616901,4929813,"577"
"578A",5780001,"intact",484633,4878356,"578"
"579A",5790001,"intact",455915,4857548,"579"
"580B",5800002,"intact",428326,4893912,"580"
"581A",5810001,"intact",600557,4981321,"581"
"582B",5820002,"intact",517381,4887705,"582"
"583A",5830001,"intact",490995,4970743,"583"
"584A",5840001,"intact",529710,5002810,"584"
"585A",5850001,"intact",479230,5178177,"585"
"586A",5860001,"intact",380176,4932194,"586"
"587C",5870003,"intact",423926,4910638,"587"
"588B",5880002,"intact",426725,4851609,"588"
"589B",5890002,"intact",445630,4849164,"589"
"590A",5900001,"intact",498926,5030479,"590"
"591A",5910001,"intact",441440,4931151,"591"
"592A",5920001,"intact",573459,4922775,"592"
"593A",5930001,"intact",601603,5004447,"593"
"594A",5940001,"intact",500675,5134840,"594"
"595A",5950001,"intact",523188,5145408,"595"
"597A",5970001,"intact",436707,4882003,"597"
"598A",5980001,"intact",625950,4952204,"598"
"599A",5990001,"intact",412438,4873668,"599"
"600B",6000002,"intact",359581,4769522,"600"
"601B",6010002,"intact",439426,4889608,"601"
"602A",6020001,"intact",476467,4864804,"602"
"603B",6030002,"intact",460326,5221858,"603"
"604A",6040001,"intact",426981,4863862,"604"
"605A",6050001,"intact",654564,4967687,"605"
"606B",6060002,"intact",601480,4929770,"606"
"607B",6070002,"intact",438677,4879402,"607"
"608A",6080001,"intact",616933,4928175,"608"
"609A",6090001,"intact",606061,4931714,"609"
"610A",6100001,"intact",497349,4921944,"610"
"611A",6110001,"intact",575402,5010626,"611"
"612A",6120001,"intact",583278,5008883,"612"
"613A",6130001,"intact",519692,5054270,"613"
"614A",6140001,"intact",503044,4940765,"614"
"615A",6150001,"intact",550432,5217642,"615"
"616A",6160001,"intact",554967,5232662,"616"
"617A",6170001,"intact",525288,4973332,"617"
"618B",6180002,"intact",439246,4885844,"618"
"619A",6190001,"intact",542920,5022431,"619"
"620A",6200001,"intact",550435,5015512,"620"
"621A",6210001,"intact",458589,4882897,"621"
"622A",6220001,"intact",544975,5165203,"622"
"623A",6230001,"intact",599120,4934063,"623"
"624A",6240001,"intact",588135,4950268,"624"
"625A",6250001,"intact",421256,4862892,"625"
"626A",6260001,"intact",402074,4884096,"626"
"627A",6270001,"intact",545124,5033174,"627"
"628A",6280001,"intact",539025,5048771,"628"
"629A",6290001,"intact",542758,5011724,"629"
"630C",6300003,"intact",416854,4897700,"630"
"631A",6310001,"intact",559573,4936477,"631"
"632B",6320002,"intact",375798,4852054,"632"
"633B",6330002,"intact",550894,4886076,"633"
"634A",6340001,"intact",438536,4901216,"634"
"635A",6350001,"intact",445841,4926884,"635"
"636A",6360001,"intact",577795,4925586,"636"
"637A",6370001,"intact",420800,4853870,"637"
"638A",6380001,"intact",458451,4903768,"638"
"639B",6390002,"intact",453732,4867307,"639"
"640A",6400001,"intact",564472,4924188,"640"
"641A",6410001,"intact",478663,4951027,"641"
"642A",6420001,"intact",535072,5107136,"642"
"643A",6430001,"intact",449115,4951464,"643"
"644A",6440001,"intact",404411,4841747,"644"
"645A",6450001,"intact",447999,4872252,"645"
"646A",6460001,"intact",549771,4909400,"646"
"647A",6470001,"intact",573833,5174749,"647"
"648A",6480001,"intact",484564,5012155,"648"
"649A",6490001,"intact",348127,4973684,"649"
"650B",6500002,"intact",457120,5080296,"650"
"651A",6510001,"intact",472569,5056511,"651"
"652A",6520001,"intact",535102,4914024,"652"
"654B",6540002,"intact",487604,4919868,"654"
"656A",6560001,"intact",420473,4857030,"656"
"657A",6570001,"intact",390704,4927467,"657"
"658A",6580001,"intact",590796,5015317,"658"
"659A",6590001,"intact",458034,5014408,"659"
"660A",6600001,"intact",493793,4890357,"660"
"661A",6610001,"intact",431593,4850361,"661"
"662A",6620001,"intact",427616,4841310,"662"
"663A",6630001,"intact",560812,4970378,"663"
"664A",6640001,"intact",626893,4968356,"664"
"665A",6650001,"intact",594184,4926349,"665"
"666B",6660002,"intact",534778,5022884,"666"
"667A",6670001,"intact",371811,4900893,"667"
"668A",6680001,"intact",568674,4982569,"668"
"669A",6690001,"intact",551261,4893084,"669"
"670A",6700001,"intact",508329,5011586,"670"
"671A",6710001,"intact",421775,4916764,"671"
"672A",6720001,"intact",535689,4904772,"672"
"673A",6730001,"intact",427054,4927801,"673"
"675A",6750001,"intact",438799,4964171,"675"
"676A",6760001,"intact",496469,4909768,"676"
"677A",6770001,"intact",418866,4854517,"677"
"678A",6780001,"intact",632592,4946904,"678"
"679A",6790001,"intact",576381,5162425,"679"
"680A",6800001,"intact",450876,4931770,"680"
"681A",6810001,"intact",410356,4840178,"681"
"682A",6820001,"intact",590538,5020151,"682"
"683A",6830001,"intact",354610,4984222,"683"
"684A",6840001,"intact",513196,4953887,"684"
"685A",6850001,"intact",478251,4900352,"685"
"686A",6860001,"intact",366041,4881423,"686"
