"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","active_2013","active_2014","active_2015","active_2016"
"091C",910003,"historic",452153,5115342,NA,NA,NA,NA
"091D",910004,"historic",452903,5114473,NA,NA,NA,NA
"181E",1810005,"historic",460024,5119750,NA,NA,NA,NA
"181B",1810002,"historic",458990,5120460,NA,NA,NA,NA
"181D",1810004,"historic",458599,5120350,NA,NA,NA,NA
"181C",1810003,"historic",458303,5119490,NA,NA,NA,NA
"181A",1810001,"historic",457706,5120950,NA,NA,NA,NA
"441A",4410001,"intact",462270,5111001,NA,NA,NA,NA
"484A",4840001,"intact",460204,5127932,NA,NA,NA,NA
"349A",3490001,"intact",469809,5130826,NA,NA,NA,NA
"349B",3490002,"intact",470842,5133111,NA,NA,NA,NA
"090E",900005,"historic",473494,5128726,NA,NA,NA,NA
"090D",900004,"historic",472991,5128788,NA,NA,NA,NA
"090A",900001,"intact",476379,5128094,NA,NA,NA,NA
"090B",900002,"historic",476183,5128680,NA,NA,NA,NA
"090C",900003,"historic",477835,5129540,NA,NA,NA,NA
"439A",4390001,"intact",499225,5063724,NA,NA,NA,NA
"440A",4400001,"historic",503754,5054963,NA,NA,NA,NA
"089D",890004,"historic",503075,5067911,NA,NA,NA,NA
"089A",890001,"historic",503379,5067730,NA,NA,NA,NA
"089C",890003,"historic",504024,5067032,NA,NA,NA,NA
"089E",890005,"historic",504521,5067374,NA,NA,NA,NA
"089B",890002,"intact",503881,5067207,NA,NA,NA,NA
"186B",1860002,"intact",470419,5104341,NA,NA,NA,NA
"186A",1860001,"historic",470457,5104261,NA,NA,NA,NA
"114A",1140001,"intact",519002,5112828,NA,NA,NA,NA
"363A",3630001,"intact",506914,5125982,NA,NA,NA,NA
"487A",4870001,"historic",516861,5123704,NA,NA,NA,NA
"330A",3300001,"intact",526702,5128560,NA,NA,NA,NA
"450A",4500001,"intact",536491,5125532,NA,NA,NA,NA
"115B",1150002,"historic",528062,5122650,NA,NA,NA,NA
"115A",1150001,"historic",528926,5123440,NA,NA,NA,NA
"438A",4380001,"historic",538490,5130549,NA,NA,NA,NA
"284A",2840001,"historic",532662,5134760,NA,NA,NA,NA
"595A",5950001,"intact",523188,5145408,NA,NA,NA,NA
"337A",3370001,"intact",586857,5183151,NA,NA,NA,NA
"337B",3370002,"intact",587016,5183018,NA,NA,NA,NA
"622A",6220001,"intact",544975,5165203,NA,NA,NA,NA
"594A",5940001,"intact",500675,5134840,NA,NA,NA,NA
"343A",3430001,"intact",508060,5151084,NA,NA,NA,NA
"343B",3430002,"intact",508268,5151362,NA,NA,NA,NA
"518A",5180001,"intact",574109,5166511,NA,NA,NA,NA
"399A",3990001,"intact",582552,5168290,NA,NA,NA,NA
"455A",4550001,"intact",580427,5172332,NA,NA,NA,NA
"228A",2280001,"historic",536339,5186080,NA,NA,NA,NA
"228C",2280003,"historic",536367,5186327,NA,NA,NA,NA
"228B",2280002,"historic",537544,5186040,NA,NA,NA,NA
"228D",2280004,"intact",537358,5186187,NA,NA,NA,NA
"207A",2070001,"historic",549221,5206215,NA,NA,NA,NA
"207C",2070003,"historic",548517,5207710,NA,NA,NA,NA
"207D",2070004,"historic",548628,5207540,NA,NA,NA,NA
"207E",2070005,"intact",548737,5207360,NA,NA,NA,NA
"447A",4470001,"intact",544920,5212787,NA,NA,NA,NA
"226A",2260001,"historic",550379,5213670,NA,NA,NA,NA
"226C",2260003,"intact",550289,5213383,NA,NA,NA,NA
"615A",6150001,"intact",550432,5217642,NA,NA,NA,NA
"227A",2270001,"historic",554485,5222066,NA,NA,NA,NA
"227B",2270002,"historic",555536,5223410,NA,NA,NA,NA
"227C",2270003,"intact",555464,5223550,NA,NA,NA,NA
"247A",2470001,"historic",561285,5224982,NA,NA,NA,NA
"616A",6160001,"intact",554967,5232662,NA,NA,NA,NA
"536A",5360001,"intact",578066,5227985,NA,NA,NA,NA
"116A",1160001,"historic",516255,5183890,NA,NA,NA,NA
"116B",1160002,"historic",515908,5186908,NA,NA,NA,NA
"116C",1160003,"historic",515803,5186821,NA,NA,NA,NA
"116D",1160004,"historic",515372,5186938,NA,NA,NA,NA
