"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","198D","198","Yes",2013,2013,2013,2003,"Inner Baker Island","","coastal","Hancock","ME","C","","","",545965.355571,4885993.09303,-68.425466896754,44.1256857749519
"","","199D","199","Yes",2014,2014,2014,2011,"","","interior","Penobscot","ME","B","","","",523280.704703,4963269.06383,-68.7055249851645,44.822447640292
"","","200A","200","Yes",2013,2013,2013,1991,"Big Island","","interior","Washington","ME","C","","","",580573,5005730,-67.9741148383305,45.2004489665277
"","","201A","201","Yes",2013,2013,2013,1992,"Black Island","","coastal","Hancock","ME","C","","","",547717.118152,4914631.04389,-68.4009606873215,44.3833900535398
"","","202D","202","Yes",2013,2013,2013,1999,"Williams Island","","coastal","Cumberland","ME","A","","","",415826.477923,4851874.10442,-70.0466374533997,43.8151455778571
"","","203B","203","Yes",2014,2014,2014,1999,"","","interior","Waldo","ME","B","","","",467164.950186,4951370.05254,-69.4145572354977,44.7149565150664
"","","204B","204","Yes",2014,2014,2014,1993,"West Freyee Island","","coastal","Sagadahoc","ME","A","","","",428558.470166,4865803.51506,-69.8902099656711,43.9418868230295
"Three","Yes","205R01","205","Yes",2015,2015,2015,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,558197,5018454,-68.25749454,45.31717834
"","","207F","207","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","dominant","",548543.418,5207670.2238,-68.3612371955653,47.0207703993448
"","","209C","209","Yes",2014,2014,2014,2003,"Mud Pond island","","interior","Piscataquis","ME","E","","","",459091.844,5045117,-69.5241545023713,45.5583891487015
"","","210B","210","Yes",2013,2013,2013,1993,"","","coastal","Hancock","ME","C","","dominant","Nest tree was alive when first used.  Nest tree condition deteriorated notably during the years of eagle nesting activity.",515921,4912080,-68.8002015059652,44.3618192997243
