PK_NestSite,IntactDuringLastYearObs.,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,County,IFWRegion,Species,TreeCondition,NestTreeStandProminence,NestTreeComments,nest_id,Accuracy,Type,UseID,UTM_long,UTM_lat
034C,No,34,Dwelly Point,2013,1980,NA,1967,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,034C,12,A,IO,560119,4936579
034D,Yes,34,Buckskin Island,2013,2013,2011,1966,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,034D,12,A,ER,560664,4936830
034E,No,34,Taunton Bay shoreline,2013,1972,NA,1967,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,034E,12,A,IO,560464,4936147
035A,No,35,Ingalls Island,2013,1996,1989,1970,,coastal,Hancock,C,eastern white pine,dead - top intact,dominant,,035A,12,A,IO,563182,4926930
035B,No,35,Crabtree Neck upland,2013,1967,1964,1964,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,035B,12,A,IO,559971,4928360
035C,No,35,Bean Island,2013,1999,1996,1995,,coastal,Hancock,C,red spruce,alive - top broken,co-dominant,,035C,12,A,IO,563243,4925070
035D,Yes,35,Bean Island,2013,2013,2013,1997,,coastal,Hancock,C,northern red oak,alive - top intact,dominant,,035D,12,A,ER,563288,4925100
036A,No,36,Clapham Brook upland,2013,1982,1977,1974,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,036A,12,A,IO,563250,4931130
036B,No,36,Mill Brook upland,2013,1999,1995,1977,,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,Nest tree leader is dead above nest level.,036B,12,A,IO,564919,4931102
036C,No,36,Clapham Brook upland,2013,1980,NA,1978,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,036C,12,A,IO,563430,4931280
036D,No,36,Sprucewood Point vicinity,2013,1998,1997,1996,,coastal,Hancock,C,eastern white pine,alive - top intact,,,036D,12,A,IO,563749,4929127
036E,No,36,Falls Point,2013,2005,1996,1997,,coastal,Hancock,C,red spruce,alive - top broken,supercanopy,,036E,12,A,IO,561912,4930120
036F,Yes,36,Falls Point,2013,2013,2013,1998,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,036F,12,A,ER,562067,4930130
037A,No,37,Preble Island,2013,2000,1982,1966,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,037A,12,A,IO,566141,4923806
037B,No,37,Preble Island,2013,1984,1973,1967,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,Nest tree leader is dead above nest level.,037B,12,A,IO,565668,4924110
037C,Yes,37,Calf Island,2013,2013,1994,1968,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,037C,12,A,ER,567176,4923880
037D,No,37,Calf Island,2013,NA,NA,1977,Nest and the nest tree were fallen when first discovered.,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,037D,12,A,IO,567142,4923860
037E,No,37,Treasure Island,2013,1984,1966,1966,,coastal,Hancock,C,eastern white pine,alive - top intact,dominant,,037E,12,A,IO,567031,4925433
037F,No,37,Treasure Island,2013,1992,NA,1968,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top intact,co-dominant,Nest tree leader is dead above nest level.,037F,12,A,IO,567084,4925386
037G,No,37,Waukeag Neck,2013,1987,NA,1978,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Hancock,C,eastern white pine,alive - top broken,dominant,,037G,12,A,IO,566404,4925570
037H,No,37,Preble Island,2013,1999,1993,1993,,coastal,Hancock,C,red spruce,alive - top broken,dominant,,037H,12,A,IO,565483,4923960
037I,No,37,Calf Island,2013,2000,2000,1995,,coastal,Hancock,C,eastern white pine,alive - top intact,,,037I,12,A,IO,567118,4923830
037J,Yes,37,Calf Island,2013,2013,2013,2001,,coastal,Hancock,C,eastern white pine,alive - top intact,,,037J,12,A,ER,567046,4923840
038A,No,38,Hog Island,2013,1990,1973,1962,,coastal,Hancock,C,eastern white pine,alive - top intact,supercanopy,,038A,12,A,IO,570699,4924590
