FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3308,Point_4191,12,Animal Location,4062,4062,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],139D,491821,5155387
,3309,Point_2188,12,Animal Location,2188,2188,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],235B,485311,5143210
,3310,Point_4192,5,Animal Location,4063,4063,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],235C,485473,5143339
,3311,Point_2115,12,Animal Location,2115,2115,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],235A,485095,5140780
,3312,Point_2357,12,Animal Location,2357,2357,7414,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],322A,482815.1869,5135326.881
,3313,Point_1562,12,Animal Location,1562,1562,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],173B,476717,5142310
,3314,Point_1561,12,Animal Location,1561,1561,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],173A,476700,5142230
,3315,Point_2183,12,Animal Location,2183,2183,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],173C,476930,5141780
,3316,Point_4193,10,Animal Location,4064,4064,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],173D,476993.806,5142129.312
,3317,Point_2356,12,Animal Location,2356,2356,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],321A,453250,5140860
,3318,Point_4194,12,Animal Location,4065,4065,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],321B,453443,5140460
,3319,Point_4195,11,Animal Location,4066,4066,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],486A,343588.3157,4995425.785
,3320,Point_4196,8.5,Animal Location,4067,4067,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],566A,358323,4980659
,3321,Point_4197,4,Animal Location,4069,4069,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],398B,363521.2704,4976942.812
,3322,Point_4198,12,Animal Location,4068,4068,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],398A,363555.273,4976975.203
