"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"193","235C","235",5143339,485473,"Yes",2004,"2013",2013,2013,"Spider Lake inlet","","interior","Piscataquis"
"194","236D","236",5051810,524899,"Yes",2004,"2013",2013,2013,"","","interior","Penobscot"
"195","238B","238",4870212,484111,"Yes",2007,"2013",2013,2011,"George's Drive shoreline","","coastal","Knox"
"196","239B","239",4978010,561022,"Yes",2003,"2013",2013,2013,"","","interior","Hancock"
"197","240C","240",4863291,446788,"Yes",2012,"2013",2013,2013,"Tibbett Island","","coastal","Lincoln"
"198","241A","241",4919077,560203,"Yes",1995,"2014",2014,2014,"Lookout Point vicinity","","coastal","Hancock"
"199","242B","242",4932978,592470,"Yes",2005,"2013",2013,2013,"Pinkham Island","","coastal","Washington"
"200","244B","244",4923485,434628,"Yes",1999,"2013",2013,2012,"Pinewood Drive shoreline","","interior","Kennebec"
"201","245B","245",5052697,505551,"Yes",2005,"2013",2013,2013,"","","interior","Penobscot"
"202","246C","246",4906821,543730,"Yes",2010,"2013",2013,2013,"Hardwood Island","","coastal","Hancock"
"203","248B","248",5064660,540034,"Yes",1996,"2013",2013,2013,"","","interior","Penobscot"
"204","249D","249",4854714,445307,"Yes",2008,"2013",2013,2013,"Green Islands","","coastal","Lincoln"
"205","250B","250",4909118,506078,"Yes",2007,"2013",2013,2013,"Ram Island","","coastal","Waldo"
"206","251D","251",4934949,455926,"Yes",2007,"2013",2013,2013,"","","interior","Kennebec"
"207","252F","252",4970429,354274,"Yes",2012,"2013",2013,2013,"Upper Dam vicinity","","interior","Oxford"
"208","254G","254",4899510,560133,"Yes",2013,"2013",2013,2013,"Fish Point vicinity","","coastal","Hancock"
"209","256C","256",5007880,610148,"Yes",1996,"2013",2013,2013,"","","interior","Washington"
"210","257B","257",4854463,423730,"Yes",2008,"2013",2013,2009,"","","coastal","Cumberland"
"211","258A","258",5017849,577161,"Yes",1995,"2013",2013,2013,"","","interior","Penobscot"
"212","259D","259",5005497,604823,"Yes",2013,"2013",2013,2013,"","","interior","Washington"
"213","260B","260",5012877,610915,"Yes",2009,"2013",2013,2013,"","","interior","Washington"
"214","262C","262",4924264,445217,"Yes",2012,"2013",2013,2013,"West River Road upland, North Sidney","","coastal","Kennebec"
"215","263C","263",4964746,646820,"Yes",2013,"2013",2013,2013,"Freds Islands","","coastal","Washington"
"216","264A","264",5082150,481438,"Yes",1996,"2013",2013,2013,"","","interior","Piscataquis"
"217","265B","265",4924123,609773,"Yes",2013,"2013",2013,2013,"Browney Island","","coastal","Washington"
"218","266B","266",4999664,628353,"Yes",2009,"2013",2013,2009,"","","interior","Washington"
"219","267B","267",4919733,591111,"Yes",2004,"2013",2013,2013,"Bois Bubert Island","","coastal","Washington"
"220","268C","268",4849369,409271,"Yes",2008,"2013",2013,2013,"Lanes Island","","coastal","Cumberland"
"221","269C","269",5043091,548377,"Yes",2003,"2013",2013,2009,"","","interior","Penobscot"
"222","270F","270",4942317,474395,"Yes",2009,"2013",2013,2013,"","","interior","Waldo"
"223","271C","271",4931649,500682,"Yes",2013,"2013",2013,2013,"","","interior","Waldo"
"224","272D","272",4882811,440211,"Yes",2011,"2014",2014,2014,"","","coastal","Lincoln"
"225","273B","273",5004296,637532,"Yes",2007,"2013",2013,2013,"","","coastal","Washington"
"226","274B","274",4892036,403719,"Yes",1999,"2014",2014,2014,"","","interior","Androscoggin"
"227","275E","275",4985769,476494,"Yes",2012,"2013",2013,0,"","No documented occupancy by eagles during surveys conducted through 2013 at this nest.","interior","Penobscot"
"228","276D","276",4874960,510898,"Yes",2003,"2013",2013,2013,"Greens Island - Heron Neck","","coastal","Knox"
"229","277B","277",4972949,528591,"Yes",2013,"2013",2013,2013,"","","interior","Penobscot"
"230","278C","278",4939182,453281,"Yes",2006,"2013",2013,2013,"","","interior","Kennebec"
"231","279C","279",5158433,487782,"Yes",2003,"2013",2013,2009,"","","interior","Aroostook"
"232","280A","280",5059186,440603,"Yes",1998,"2013",2013,2013,"","","interior","Piscataquis"
"233","281A","281",5011110,391353,"Yes",1994,"2013",2013,2013,"""Old"" Flagstaff Lake islands","","interior","Somerset"
"234","282A","282",4946616,367667,"Yes",1998,"2013",2013,2013,"","","interior","Oxford"
"235","283B","283",5048950,615181,"Yes",2004,"2013",2013,2013,"","","interior","Washington"
"236","285C","285",5062113,509742,"Yes",2013,"2013",2013,0,"","","interior","Piscataquis"
"237","286A","286",4920714,555710,"Yes",1998,"2013",2013,2013,"Leland Point","","coastal","Hancock"
"238","287B","287",4940306,432686,"Yes",2005,"2013",2013,2011,"Little North Pond peninsula","","interior","Kennebec"
"239","288C","288",4942105,614316,"Yes",2013,"2013",2013,2013,"","","coastal","Washington"
"240","289C","289",5054802,528210,"Yes",2004,"2013",2013,2013,"","","interior","Penobscot"
"241","290C","290",4850451,435574,"Yes",2013,"2013",2013,2013,"Weasel Point area","","coastal","Sagadahoc"
"242","291A","291",4957600,429562,"Yes",1999,"2013",2013,2013,"","","interior","Somerset"
"243","292C","292",4847079,452885,"Yes",2009,"2013",2013,2013,"Outer Heron Island","","coastal","Lincoln"
"244","293B","293",4912501,525725,"Yes",1999,"2013",2013,2013,"","","coastal","Hancock"
"245","294B","294",4883245,512025,"Yes",2007,"2013",2013,2013,"Spectacle Island","","coastal","Knox"
"246","295C","295",4868057,471539,"Yes",2013,"2013",2013,2013,"Ram Island","","coastal","Knox"
"247","297C","297",4911705,571927,"Yes",2005,"2013",2013,2013,"Turtle Island","","coastal","Hancock"
"248","298C","298",4945667,630234,"Yes",2003,"2013",2013,2013,"Bare Island","","coastal","Washington"
