PK_NestSite,UTM_Long,UTM_Lat
271C,NA,NA
272A,440128,4882080
272B,440187,4882770
272C,440345.9602,4881756.404
272D,440211.7422,4882811.721
273A,637436.6072,5004467.196
273B,637532.942,5004296.068
274A,403558.9531,4892227.276
274B,403719.9238,4892036.875
275A,477173.9666,4983767.059
275B,477308.5616,4983823.003
275C,474512,4980930
275D,478470.554,4984100.351
275E,476494.7003,4985769.335
276A,511849,4875140
276B,511766,4875050
276C,511024.4432,4874806.788
276D,510898,4874960
277A,528428,4972667.967
277B,NA,NA
278A,453779,4940140
278B,453721.6845,4940161.448
278C,453281.957,4939182.598
279A,487280,5159330
279B,486400.4077,5156598.235
279C,487782.5293,5158433.621
280A,440603.4894,5059186.691
281A,391353,5011110
282A,367667.0376,4946616.593
283A,615205.0204,5048917.968
283B,615181.8948,5048950.093
284A,532662,5134760
285A,509529,5062030
285B,509337,5061660
285C,NA,NA
286A,555710.3476,4920714.29
287A,432605,4940670
287B,432686.233,4940306.957
287C,432226.864,4940971.291
288A,612686.7471,4943375.105
288B,612873.772,4943363.23
288C,NA,NA
289A,528252.0221,5055172.095
289B,527318.9732,5053600.155
289C,528210.6296,5054802.976
290A,435495.2424,4850646.249
290B,435523.367,4850932.31
290C,NA,NA
291A,429562,4957600
292A,453004.123,4847188.254
292B,452902.723,4847192.225
292C,452885.3345,4847079.837
292D,452748.7388,4846806.741
293A,526575,4913220
293B,525725.9318,4912501.215
294A,510879.1288,4884396.935
294B,512025.606,4883245.161
295A,471552.5171,4868010.325
295B,471783.8506,4868323.607
295C,NA,NA
296A,573715.1134,4994833.962
297A,571871,4912030
297B,572085,4911900
297C,571927.076,4911705.688
298A,630419.4158,4944442.764
298B,629704,4944720
298C,630234.1983,4945667.557
299A,553518.3423,5058653.387
300A,547754,4925720
300B,NA,NA
301A,422378.0847,5004675.254
301B,422476.7574,5003878.919
301C,422456.0813,5003957.506
302A,396893.9437,5004160.284
303A,518274.8736,4894099.123
303B,518149.654,4894388.24
303C,518306.333,4894181.516
304A,529604,5004450
304B,529250.3444,5005334.002
304C,529635.1385,5004894.044
304D,529629.101,5004357.872
305A,533399,4962870
306A,491550.5655,4900088.875
306B,491083.9638,4900927.635
307A,544920,4891000
307B,544674.791,4890872.003
307C,544757.557,4890949.439
308A,449056,4918060
308B,449075.9541,4918021.327
308C,448360.2978,4917316.831
309A,401404,5045800
309B,401476,5045840
310A,576457,4911190
310B,576476.9505,4911184.757
311A,338943.738,4954264.189
311B,338344.956,4954331.278
312A,521375,4908820
312B,520363,4908660
312C,521582.4622,4908814.339
313A,550599.2219,4883172.157
313B,550669.8419,4883030.257
313C,550662.095,4883018.196
313D,550718.1427,4883013.756
314A,541229,4901790
314B,541230.5,4901724.5
314C,541271.478,4901775.673
314D,540841.265,4902529.737
314E,541345.693,4901758.557
314F,541472.693,4901765.172
314G,541562.4856,4901841.172
315A,592538.3295,4932185.249
315B,592752.71,4932202.293
316A,427287.5762,4857326.797
316B,427319.7627,4857416.729
316C,427913.1284,4856891.516
316D,427872.9228,4856673.197
316E,427034.6392,4856892.832
317A,447566.175,4906387.29
317B,447487.792,4906475.725
318A,513342.6963,4979116.854
319A,521167.914,4951625.342
319B,520388.715,4953096.106
320A,420780.707,5077311.216
320B,NA,NA
321A,453250,5140860
321B,453443,5140460
322A,482815.1869,5135326.881
323A,540330,5029540
324A,520625,4903350
324B,520668.2463,4903231.396
325A,513814.516,4945630.376
325B,514435.6272,4946210.449
325C,513787.95,4945685.563
326A,533508,4890720
326B,533496.5744,4889554.708
327A,533356.2619,4940720.772
328A,527655.8994,4877805.641
328B,527668.813,4877002.761
329A,585914.9942,4924791.566
330A,526702.2568,5128559.909
330B,526512.3338,5128624.133
331A,534954.9007,5013040.814
332A,475421,5058580
333A,421902,4902780
333B,421881,4902800
333C,422393.9565,4901624.57
334A,410227.0135,4871635.389
