OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2805,Point_3872,12.00000000000,Animal Location,3873,3873,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],011F,434089.29691000000,4867423.32705000000
2936,Point_1951,4.00000000000,Animal Location,1951,1951,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],459A,430757.99100000000,4867556.34500000000
2937,Point_4003,12.00000000000,Animal Location,3874,3874,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],459B,430784.00000000000,4867560.00000000000
2938,Point_4004,4.00000000000,Animal Location,3875,3875,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],459C,430792.63500000000,4867604.53800000000
2939,Point_4005,2.00000000000,Animal Location,3876,3876,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],459D,430793.37000000000,4867584.60400000000
2940,Point_4006,4.00000000000,Animal Location,3877,3877,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],531A,431139.32017300000,4870017.74908000000
2941,Point_2273,12.00000000000,Animal Location,2273,2273,1391,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],178C,429403.00000000000,4868910.00000000000
2942,Point_1952,12.00000000000,Animal Location,1952,1952,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],178A,429444.00000000000,4868950.00000000000
2943,Point_4007,8.50000000000,Animal Location,3878,3878,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],178E,429394.65480500000,4868945.33718000000
2944,Point_4008,12.00000000000,Animal Location,3879,3879,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],178D,429428.69601300000,4868965.60719000000
2945,Point_2049,12.00000000000,Animal Location,2049,2049,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],204A,427336.08516900000,4866740.25551000000
