project,project_num,name,faa_lit,long,lat,pad_elv_ft,strc_ht_ft,tot_elv_ft,model,hub_ht_m,airport,latitude,longitude
Stetson I,4,24,NONE,-67.97716658,45.5351381,936,389,1325,GE 1.5MW SLE,80,Houlton International,"45° 32' 6.17"" N","67° 58' 37.85"" W"
Stetson I,4,25,SFRL,-67.97683105,45.53728611,922,389,1311,GE 1.5MW SLE,80,Houlton International,"45° 32' 13.9"" N","67° 58' 36.65"" W"
Stetson I,4,26,NONE,-67.97623974,45.53953043,990,389,1379,GE 1.5MW SLE,80,Houlton International,"45° 32' 21.98"" N","67° 58' 34.52"" W"
Stetson I,4,27,NONE,-67.97493505,45.54150785,972,389,1361,GE 1.5MW SLE,80,Houlton International,"45° 32' 29.1"" N","67° 58' 29.82"" W"
Stetson I,4,28,NONE,-67.97484869,45.54347971,944,389,1333,GE 1.5MW SLE,80,Houlton International,"45° 32' 36.2"" N","67° 58' 29.51"" W"
Stetson I,4,29,SFRL,-67.97498129,45.54541515,928,389,1317,GE 1.5MW SLE,80,Houlton International,"45° 32' 43.16"" N","67° 58' 29.99"" W"
Stetson I,4,30,NONE,-67.97470395,45.54800539,850,389,1239,GE 1.5MW SLE,80,Houlton International,"45° 32' 52.49"" N","67° 58' 28.99"" W"
Stetson I,4,31,NONE,-67.97279576,45.55007599,846,389,1235,GE 1.5MW SLE,80,Houlton International,"45° 32' 59.94"" N","67° 58' 22.12"" W"
Stetson I,4,32,NONE,-67.97224615,45.55215882,798,389,1187,GE 1.5MW SLE,80,Houlton International,"45° 33' 7.45"" N","67° 58' 20.14"" W"
Stetson I,4,33,SFRL,-67.97154,45.55425942,734,389,1123,GE 1.5MW SLE,80,Houlton International,"45° 33' 15"" N","67° 58' 17.6"" W"
Stetson I,4,34,NONE,-67.9681092,45.56249205,730,389,1119,GE 1.5MW SLE,80,Houlton International,"45° 33' 44.64"" N","67° 58' 5.25"" W"
Stetson I,4,35,SFRL,-67.96853325,45.56449311,738,389,1127,GE 1.5MW SLE,80,Houlton International,"45° 33' 51.84"" N","67° 58' 6.78"" W"
Stetson I,4,36,NONE,-67.96842413,45.56704086,704,389,1093,GE 1.5MW SLE,80,Houlton International,"45° 34' 1.02"" N","67° 58' 6.39"" W"
Stetson I,4,37,NONE,-67.96580237,45.57027378,676,389,1065,GE 1.5MW SLE,80,Houlton International,"45° 34' 12.65"" N","67° 57' 56.94"" W"
Stetson I,4,38,SFRL,-67.96539831,45.5727118,666,389,1055,GE 1.5MW SLE,80,Houlton International,"45° 34' 21.43"" N","67° 57' 55.49"" W"
Stetson II,5,1,SFRL,-67.95944238,45.58500456,642,389,1031,GE 1.5MW SLE,80,Houlton International,"45° 35' 6.02"" N","67° 57' 33.99"" W"
Stetson II,5,2,NONE,-67.96090631,45.58691864,683,389,1072,GE 1.5MW SLE,80,Houlton International,"45° 35' 12.91"" N","67° 57' 39.26"" W"
Stetson II,5,3,NONE,-67.96126461,45.58899986,710,389,1099,GE 1.5MW SLE,80,Houlton International,"45° 35' 20.4"" N","67° 57' 40.55"" W"
Stetson II,5,4,SFRL,-67.961138,45.59123201,698,389,1087,GE 1.5MW SLE,80,Houlton International,"45° 35' 28.43"" N","67° 57' 40.1"" W"
Stetson II,5,5,NONE,-67.959419,45.59393672,756,389,1145,GE 1.5MW SLE,80,Houlton International,"45° 35' 38.16"" N","67° 57' 33.9"" W"
Stetson II,5,6,SFRL,-67.95864852,45.59596275,719,389,1108,GE 1.5MW SLE,80,Houlton International,"45° 35' 45.46"" N","67° 57' 31.14"" W"
Stetson II,5,7,SFRL,-67.96840398,45.61704117,625,389,1014,GE 1.5MW SLE,80,Houlton International,"45° 37' 1.35"" N","67° 58' 6.26"" W"
Stetson II,5,8,NONE,-67.97079588,45.61962805,656,389,1045,GE 1.5MW SLE,80,Houlton International,"45° 37' 10.66"" N","67° 58' 14.86"" W"
Stetson II,5,9,SFRL,-67.97525284,45.62207109,731,389,1120,GE 1.5MW SLE,80,Houlton International,"45° 37' 19.45"" N","67° 58' 30.91"" W"
Stetson II,5,10,NONE,-67.97714877,45.62425795,808,389,1197,GE 1.5MW SLE,80,Houlton International,"45° 37' 27.33"" N","67° 58' 37.74"" W"
Stetson II,5,11,SFRL,-67.98014489,45.62666596,899,389,1288,GE 1.5MW SLE,80,Houlton International,"45° 37' 36"" N","67° 58' 48.52"" W"
Stetson II,5,12,NONE,-67.97981177,45.62873606,891,389,1280,GE 1.5MW SLE,80,Houlton International,"45° 37' 43.45"" N","67° 58' 47.33"" W"
Stetson II,5,13,NONE,-67.98008363,45.63080927,907,389,1296,GE 1.5MW SLE,80,Houlton International,"45° 37' 50.91"" N","67° 58' 48.3"" W"
Stetson II,5,14,SFRL,-67.97973913,45.63286592,846,389,1235,GE 1.5MW SLE,80,Houlton International,"45° 37' 58.32"" N","67° 58' 47.06"" W"
Stetson II,5,15,NONE,-67.97852084,45.63475006,795,389,1184,GE 1.5MW SLE,80,Houlton International,"45° 38' 5.1"" N","67° 58' 42.68"" W"
Stetson II,5,16,NONE,-67.97769128,45.6367638,776,389,1165,GE 1.5MW SLE,80,Houlton International,"45° 38' 12.35"" N","67° 58' 39.69"" W"
Stetson II,5,17,SFRL,-67.97817573,45.63910025,715,389,1104,GE 1.5MW SLE,80,Houlton International,"45° 38' 20.76"" N","67° 58' 41.43"" W"
