developer,project,turbine_id,model,hub_ht_m,rotor_diam,rotor_top,rotor_btm,pad_elev_m,sweep_top,sweep_btm,long,lat
Transcanada,Kibby Mountain,17,Vestas V90 3MW,80,90,125,35,890,1015,925,-70.52582641,45.38541975
Transcanada,Kibby Mountain,18,Vestas V90 3MW,80,90,125,35,835,960,870,-70.52873618,45.38361479
Transcanada,Kibby Mountain,19,Vestas V90 3MW,80,90,125,35,790,915,825,-70.5310938,45.38166442
Transcanada,Kibby Mountain,20,Vestas V90 3MW,80,90,125,35,756,881,791,-70.53405186,45.380186
Transcanada,Kibby Mountain,21,Vestas V90 3MW,80,90,125,35,779,904,814,-70.53611335,45.3780769
Transcanada,Kibby Mountain,22,Vestas V90 3MW,80,90,125,35,797,922,832,-70.53805928,45.3759744
Transcanada,Kibby Mountain,23,Vestas V90 3MW,80,90,125,35,921,1046,956,-70.57850067,45.35741269
Transcanada,Kibby Mountain,24,Vestas V90 3MW,80,90,125,35,984,1109,1019,-70.5777047,45.35418938
Transcanada,Kibby Mountain,25,Vestas V90 3MW,80,90,125,35,989,1114,1024,-70.57711727,45.35178912
Transcanada,Kibby Mountain,26,Vestas V90 3MW,80,90,125,35,878,1003,913,-70.57927144,45.34602126
Transcanada,Kibby Mountain,27,Vestas V90 3MW,80,90,125,35,843,968,878,-70.58117809,45.34323727
Transcanada,Kibby Mountain,28,Vestas V90 3MW,80,90,125,35,823,948,858,-70.58371445,45.34028991
Transcanada,Kibby Mountain,29,Vestas V90 3MW,80,90,125,35,904,1029,939,-70.58350996,45.33533562
Transcanada,Kibby Mountain,30,Vestas V90 3MW,80,90,125,35,893,1018,928,-70.58321692,45.33159229
Transcanada,Kibby Mountain,31,Vestas V90 3MW,80,90,125,35,893,1018,928,-70.58504573,45.32806212
Transcanada,Kibby Mountain,32,Vestas V90 3MW,80,90,125,35,878,1003,913,-70.58667652,45.32409121
Transcanada,Kibby Mountain,33,Vestas V90 3MW,80,90,125,35,795,920,830,-70.58997457,45.32079402
Transcanada,Kibby Mountain,34,Vestas V90 3MW,80,90,125,35,756,881,791,-70.59305055,45.31898698
Transcanada,Kibby Mountain,35,Vestas V90 3MW,80,90,125,35,868,993,903,-70.57568308,45.31898843
Transcanada,Kibby Mountain,36,Vestas V90 3MW,80,90,125,35,857,982,892,-70.55494473,45.34567305
Transcanada,Kibby Mountain,37,Vestas V90 3MW,80,90,125,35,862,987,897,-70.55146392,45.34246767
Transcanada,Kibby Mountain,38,Vestas V90 3MW,80,90,125,35,813,938,848,-70.5455549,45.33155851
Transcanada,Kibby Mountain,39,Vestas V90 3MW,80,90,125,35,809,934,844,-70.5470555,45.32871406
Transcanada,Kibby Mountain,40,Vestas V90 3MW,80,90,125,35,811,936,846,-70.54899455,45.32615514
Transcanada,Kibby Mountain,41,Vestas V90 3MW,80,90,125,35,889,1014,924,-70.54448438,45.33510021
Transcanada,Kibby Mountain,42,Vestas V90 3MW,80,90,125,35,911,1036,946,-70.53237215,45.33347271
Transcanada,Kibby Mountain,43,Vestas V90 3MW,80,90,125,35,902,1027,937,-70.53054116,45.33163595
Transcanada,Kibby Mountain,44,Vestas V90 3MW,80,90,125,35,893,1018,928,-70.53069709,45.32944549
Patriot Renewables,Spruce Mountain,1,Gamesa G90 2MW,78,90,123,33,567,690,600,-70.5508939,44.42379577
Patriot Renewables,Spruce Mountain,2,Gamesa G90 2MW,78,90,123,33,592,715,625,-70.55206037,44.4220399
Patriot Renewables,Spruce Mountain,3,Gamesa G90 2MW,78,90,123,33,581,704,614,-70.55360916,44.4205054
Patriot Renewables,Spruce Mountain,4,Gamesa G90 2MW,78,90,123,33,607,730,640,-70.55918409,44.42022883
Patriot Renewables,Spruce Mountain,5,Gamesa G90 2MW,78,90,123,33,582,705,615,-70.56006827,44.41816095
Patriot Renewables,Spruce Mountain,6,Gamesa G90 2MW,78,90,123,33,630,753,663,-70.56010783,44.41573214
Patriot Renewables,Spruce Mountain,7,Gamesa G90 2MW,78,90,123,33,653,776,686,-70.55990854,44.41362031
Patriot Renewables,Spruce Mountain,8,Gamesa G90 2MW,78,90,123,33,660,783,693,-70.56256139,44.41179042
Patriot Renewables,Spruce Mountain,9,Gamesa G90 2MW,78,90,123,33,656,779,689,-70.5656714,44.40772876
Patriot Renewables,Spruce Mountain,10,Gamesa G90 2MW,78,90,123,33,643,766,676,-70.56598796,44.40505574
